Wall Time,Step,Value
1738459283.2517736,0,-0.6382352709770203
1738459294.4688692,1,-0.6052941083908081
1738459305.1934774,2,-0.551764726638794
1738459315.370046,3,-0.567058801651001
1738459325.959962,4,-0.6094117760658264
1738459336.9939017,5,-0.5299999713897705
1738459354.8195953,6,-0.5799999833106995
1738459373.0621674,7,-0.5266666412353516
1738459391.2174954,8,-0.47555556893348694
1738459409.4265926,9,-0.5377777814865112
1738459427.5075269,10,-0.48235294222831726
1738459445.5458791,11,-0.5117647051811218
1738459463.7469199,12,-0.5182352662086487
1738459481.9296556,13,-0.4672222137451172
1738459500.2848368,14,-0.4749999940395355
1738459517.889108,15,-0.4752941131591797
1738459536.009667,16,-0.47777777910232544
1738459553.9997015,17,-0.4864705801010132
1738459570.391395,18,-0.46388888359069824
1738459586.3935082,19,-0.5070587992668152
1738459602.4891858,20,-0.45588234066963196
1738459618.7445748,21,-0.4399999976158142
1738459634.9487526,22,-0.47882354259490967
1738459651.056089,23,-0.448888897895813
1738459666.7012293,24,-0.37444445490837097
1738459682.2202616,25,-0.40882351994514465
1738459698.0365074,26,-0.411176472902298
1738459713.433964,27,-0.4435293972492218
1738459728.6275377,28,-0.44777777791023254
1738459743.9197984,29,-0.3776470720767975
1738459759.4363234,30,-0.39944443106651306
1738459774.6352108,31,-0.36705881357192993
1738459790.0672517,32,-0.40882351994514465
1738459805.6336374,33,-0.32647058367729187
1738459821.4648604,34,-0.33222222328186035
1738459837.0089016,35,-0.25333333015441895
1738459853.1793404,36,-0.38058823347091675
1738459869.412175,37,-0.4300000071525574
1738459885.696933,38,-0.3627777695655823
1738459901.88893,39,-0.38999998569488525
1738459918.1255443,40,-0.3423529267311096
1738459934.4028952,41,-0.3338888883590698
1738459950.8558495,42,-0.3776470720767975
1738459967.1834025,43,-0.3152941167354584
1738459984.037896,44,-0.3883333206176758
1738460000.4038205,45,-0.32764706015586853
1738460016.8298442,46,-0.31705883145332336
1738460032.4506133,47,-0.31647059321403503
1738460047.2588658,48,-0.38294118642807007
1738460062.039941,49,-0.33764705061912537
1738460076.7040594,50,-0.35411766171455383
1738460091.4288661,51,-0.33000001311302185
1738460106.361553,52,-0.3499999940395355
1738460121.9651217,53,-0.362941175699234
1738460139.5004416,54,-0.351666659116745
1738460157.1835067,55,-0.3576470613479614
1738460174.9379873,56,-0.34882351756095886
1738460192.5618823,57,-0.29411765933036804
1738460210.4136362,58,-0.30529412627220154
1738460228.7421448,59,-0.26941177248954773
1738460244.3739026,60,-0.387058824300766
1738460259.6279101,61,-0.3552941083908081
1738460274.9196916,62,-0.3947058916091919
1738460290.6160657,63,-0.34823527932167053
1738460306.1547878,64,-0.3400000035762787
1738460321.8806124,65,-0.3588235378265381
1738460338.931899,66,-0.3682352900505066
1738460356.3043063,67,-0.3323529362678528
1738460373.9606676,68,-0.24500000476837158
1738460391.0540886,69,-0.2594117522239685
1738460408.2833452,70,-0.24294117093086243
1738460425.2219822,71,-0.3199999928474426
1738460442.2577846,72,-0.2252941131591797
1738460459.0194027,73,-0.25294119119644165
1738460475.8246036,74,-0.2611764669418335
1738460492.7420933,75,-0.2088235318660736
1738460509.6638777,76,-0.227647066116333
1738460526.866369,77,-0.2083333283662796
1738460543.0220015,78,-0.29058822989463806
1738460559.094656,79,-0.25823530554771423
1738460575.2629821,80,-0.2535293996334076
1738460590.8606184,81,-0.25647059082984924
1738460606.0343964,82,-0.2405882328748703
1738460621.3765044,83,-0.23823529481887817
1738460636.5197163,84,-0.27529412508010864
1738460651.6070566,85,-0.2994117736816406
1738460666.817931,86,-0.26588234305381775
1738460682.825194,87,-0.24764706194400787
1738460699.2463782,88,-0.21882352232933044
1738460715.7917154,89,-0.24176470935344696
1738460733.5890756,90,-0.22705882787704468
1738460750.4637938,91,-0.2105882316827774
1738460767.1649244,92,-0.1922222226858139
1738460783.9808557,93,-0.1917647123336792
1738460800.7243266,94,-0.20352941751480103
1738460817.635281,95,-0.1899999976158142
1738460835.9221342,96,-0.2576470673084259
1738460854.0910025,97,-0.2388235330581665
1738460872.4254842,98,-0.16333332657814026
1738460890.8813374,99,-0.21352940797805786
1738460909.2595093,100,-0.14529411494731903
1738460927.463861,101,-0.17176470160484314
1738460943.4960864,102,-0.14222222566604614
1738460959.0835962,103,-0.21117646992206573
1738460974.6013887,104,-0.2388235330581665
1738460989.9671302,105,-0.21352940797805786
1738461005.4524937,106,-0.22411765158176422
1738461020.8548343,107,-0.21470588445663452
1738461036.324495,108,-0.22058823704719543
1738461051.9543087,109,-0.27000001072883606
1738461067.4749715,110,-0.19111111760139465
1738461082.9035084,111,-0.19647058844566345
1738461098.2271547,112,-0.12882353365421295
1738461113.6071792,113,-0.1858823597431183
1738461132.2625384,114,-0.2199999988079071
1738461150.6271899,115,-0.20058824121952057
1738461169.1878633,116,-0.12529411911964417
1738461187.14773,117,-0.12999999523162842
1738461205.3286438,118,-0.19647058844566345
