Wall Time,Step,Value
1742817577.246892,0,0.0
1742817579.1852288,1,0.0
1742817581.106644,2,0.0
1742817583.1563914,3,0.0
1742817585.0190082,4,0.0
1742817586.8602643,5,0.0
1742817588.6583633,6,0.0
1742817590.490324,7,0.0
1742817592.3149498,8,0.0
1742817594.129284,9,0.0
1742817595.9264574,10,0.0
1742817597.7268357,11,0.0
1742817599.5365145,12,0.0
1742817601.3473275,13,0.0
1742817603.147648,14,0.0
1742817604.967977,15,0.0
1742817606.7551348,16,0.0
1742817608.555028,17,0.0
1742817610.4125485,18,0.0
1742817612.2327328,19,0.0
1742817614.0088768,20,0.0
1742817615.7772944,21,0.0
1742817617.619141,22,0.0
1742817619.4152846,23,0.0
1742817621.189321,24,0.0
1742817623.0033004,25,0.0
1742817624.829101,26,0.0
1742817626.6082046,27,0.0
1742817628.3928852,28,0.0
1742817630.215742,29,0.0
1742817632.0478957,30,0.0
1742817633.8674283,31,0.0
1742817635.6341336,32,0.0
1742817637.4072092,33,0.0
1742817639.1857424,34,0.0
1742817640.9609442,35,0.0
1742817642.7503824,36,0.0
1742817644.5415554,37,0.0
1742817646.3228357,38,0.0
1742817648.0900278,39,0.0
1742817649.8808017,40,0.0
1742817651.6681554,41,0.0
1742817653.4479113,42,0.0
1742817655.2418227,43,0.0
1742817657.0299852,44,0.0
1742817658.8196163,45,0.0
1742817660.6060383,46,0.0
1742817662.4197278,47,0.0
1742817664.2136981,48,0.0
1742817666.0114512,49,0.0
1742817667.8107321,50,0.0
1742817669.6154132,51,0.0
1742817671.3880734,52,0.0
1742817673.1752474,53,0.0
1742817674.9728658,54,0.0
1742817676.7714455,55,0.0
1742817678.5791879,56,0.0
1742817680.3718946,57,0.0
1742817682.1715276,58,0.0
1742817684.01063,59,0.0
1742817685.79975,60,0.0
1742817687.580203,61,0.0
1742817689.3935084,62,0.0
1742817691.2498884,63,0.0
1742817693.073961,64,0.0
1742817694.9111583,65,0.0
1742817696.7024872,66,0.0
1742817698.4914346,67,0.0
1742817700.2499144,68,0.0
1742817702.0042481,69,0.0
1742817703.7150824,70,0.0
1742817705.5868278,71,0.0
1742817707.3584533,72,0.0
1742817709.1321995,73,0.0
1742817710.9104133,74,0.0
1742817712.6895955,75,0.0
1742817714.4972253,76,0.0
1742817716.2833908,77,0.0
1742817718.0821257,78,0.0
1742817719.8870082,79,0.0
1742817721.7191176,80,0.0
1742817723.4917328,81,0.0
1742817725.2921128,82,0.0
1742817727.091782,83,0.0
1742817728.890356,84,0.0
1742817730.686456,85,0.0
1742817732.4832456,86,0.0
1742817734.2684278,87,0.0
1742817736.0698283,88,0.0
1742817737.9045467,89,0.0
1742817739.726357,90,0.0
1742817741.5439513,91,0.0
1742817743.3288374,92,0.0
1742817745.1550856,93,0.0
1742817746.993011,94,0.0
1742817748.7971003,95,0.0
1742817750.628739,96,0.0
1742817752.4525762,97,0.0
1742817754.296281,98,0.0
1742817756.0751972,99,0.0
1742817757.8624346,100,0.0
1742817759.6579251,101,0.0
1742817761.4529965,102,0.0
1742817763.2529173,103,0.0
1742817765.0676272,104,0.0
1742817766.8699224,105,0.0
1742817768.6725578,106,0.0
1742817770.4711316,107,0.0
1742817772.2600002,108,0.0
1742817774.0618763,109,0.0
1742817775.8483543,110,0.0
1742817777.631444,111,0.0
1742817779.433975,112,0.0
1742817781.2372324,113,0.0
1742817783.0490217,114,0.0
1742817784.8714502,115,0.0
1742817786.6774397,116,0.0
1742817788.46161,117,0.0
1742817790.2638152,118,0.0
1742817792.0585794,119,0.0
1742817793.8444543,120,0.0
1742817795.6287243,121,0.0
1742817797.4170752,122,0.0
1742817799.1976726,123,0.0
1742817800.9821754,124,0.0
1742817802.7761023,125,0.0
1742817804.5626528,126,0.0
1742817806.3546715,127,0.0
1742817808.1295223,128,0.0
1742817809.9435134,129,0.0
1742817811.721456,130,0.0
1742817813.5061357,131,0.0
1742817815.2916675,132,0.0
1742817817.0930421,133,0.0
1742817818.8854306,134,0.0
1742817820.6580112,135,0.0
1742817822.4403093,136,0.0
1742817824.2244794,137,0.0
1742817826.0153503,138,0.0
1742817827.8088858,139,0.0
1742817829.6169455,140,0.0
1742817831.3778474,141,0.0
1742817833.1903589,142,0.0
1742817835.1743155,143,0.0
1742817836.9724984,144,0.0
1742817838.73032,145,0.0
1742817840.5251355,146,0.0
1742817842.314609,147,0.0
1742817844.134617,148,0.0
1742817845.9281757,149,0.0
1742817847.7950258,150,0.0
1742817849.6150897,151,0.0
1742817851.414712,152,0.0
1742817853.210794,153,0.0
1742817855.0220792,154,0.0
1742817856.8353722,155,0.0
1742817858.6360137,156,0.0
1742817860.4492674,157,0.0
1742817862.2430625,158,0.0
1742817864.0422063,159,0.0
1742817865.8543813,160,0.0
1742817867.6642933,161,0.0
1742817869.4921894,162,0.0
1742817871.3201945,163,0.0
1742817873.1220837,164,0.0
1742817874.9412518,165,0.0
1742817876.7418456,166,0.0
1742817878.567229,167,0.0
1742817880.3944666,168,0.0
1742817882.191533,169,0.0
1742817884.0028958,170,0.0
1742817885.8033028,171,0.0
1742817887.6026404,172,0.0
1742817889.4127433,173,0.0
1742817891.2213273,174,0.0
1742817893.017039,175,0.0
1742817894.8279262,176,0.0
1742817896.6375997,177,0.0
1742817898.456481,178,0.0
1742817900.2720983,179,0.0
1742817902.0766456,180,0.0
1742817903.847387,181,0.0
1742817905.6537082,182,0.0
1742817907.4580047,183,0.0
1742817909.245036,184,0.0
1742817911.0328808,185,0.0
1742817912.827323,186,0.0
1742817914.6226878,187,0.0
1742817916.4035661,188,0.0
1742817918.1818228,189,0.0
1742817919.978496,190,0.0
1742817921.7586212,191,0.0
1742817923.536707,192,0.0
1742817925.317457,193,0.0
1742817927.1046448,194,0.0
1742817928.8012352,195,0.0
1742817930.5582683,196,0.0
1742817932.3526971,197,0.0
1742817934.0493448,198,0.0
1742817935.2954535,199,0.0
